Index,Decimal,Binary,Octal,Hexadecimal,Base3,Base5,Base7,Base12,Base36,Digit_Sum_Decimal,Number_Length,Last_Digit
1,2,10,2,2,2,2,2,2,2,2,1,2
2,3,11,3,3,10,3,3,3,3,3,1,3
3,5,101,5,5,12,10,5,5,5,5,1,5
4,7,111,7,7,21,12,10,7,7,7,1,7
5,13,1101,15,D,111,23,16,11,D,4,2,3
6,17,10001,21,11,122,32,23,15,H,8,2,7
7,19,10011,23,13,201,34,25,17,J,10,2,9
8,31,11111,37,1F,1011,111,43,27,V,4,2,1
9,61,111101,75,3D,2021,221,115,51,1P,7,2,1
10,89,1011001,131,59,10022,324,155,75,2H,17,2,9
11,107,1101011,153,6B,10222,412,212,8B,2Z,8,3,7
12,127,1111111,177,7F,11201,1002,241,A7,3J,10,3,7
13,521,1000001001,1011,209,201022,4041,1343,375,EH,8,3,1
14,607,1001011111,1137,25F,211111,4412,1525,427,GV,13,3,7
15,1279,10011111111,2377,4FF,1202101,20104,3505,8A7,ZJ,19,4,9
16,2203,100010011011,4233,89B,10000121,32303,6265,1337,1P7,7,4,3
17,2281,100011101001,4351,8E9,10010111,33111,6436,13A1,1RD,13,4,1
18,3217,110010010001,6221,C91,11102011,100332,12244,1A41,2HD,13,4,7
19,4253,1000010011101,10235,109D,12211112,114003,15254,2565,3A5,14,4,3
20,4423,1000101000111,10507,1147,20001211,120143,15616,2687,3EV,13,4,3
21,9689,10010111011001,22731,25D9,111021212,302224,40151,5735,7H5,32,4,9
22,9941,10011011010101,23325,26D5,111122012,304231,40661,5905,7O5,23,4,1
23,11213,10101111001101,25715,2BCD,120101022,324323,44456,65A5,8NH,8,5,3
24,19937,100110111100001,46741,4DE1,1000100102,1114222,112061,B655,FDT,29,5,7
25,21701,101010011000101,52305,54C5,1002202202,1143301,120161,10685,GQT,11,5,1
26,23209,101101010101001,55251,5AA9,1011211121,1220314,124444,11521,HWP,16,5,9
27,44497,1010110111010001,126721,ADD1,2021001001,2410442,243505,21901,YC1,28,5,7
28,86243,10101000011100011,250343,150E3,11101022012,10224433,506303,41AAB,1UJN,23,5,3
29,110503,11010111110100111,327647,1AFA7,12121120201,12014003,640111,53B47,2D9J,10,6,3
30,132049,100000001111010001,401721,203D1,20201010201,13211144,1056661,64501,2TW1,19,6,9
31,216091,110100110000011011,646033,34C1B,101222102101,23403331,1560001,A5077,4MQJ,19,6,1
32,756839,10111000110001100111,2706147,B8C67,1102110012002,143204324,6301346,305B9B,G7ZB,38,6,9
33,859433,11010001110100101001,3216451,D1D29,1121122220212,210000213,10206431,355435,IF55,32,6,3
34,1257787,100110011000100111011,4630473,13313B,2100220100201,310222122,13456006,507A77,QYIJ,37,7,7
35,1398269,101010101010111111101,5252775,1555FD,2122001001202,324221034,14612405,575225,TYWT,38,7,9
36,2976221,1011010110100111011101,13264735,2D69DD,12121012121102,1230214341,34204013,BB6425,1RSGT,29,7,1
37,3021377,1011100001101001000001,13415101,2E1A41,12200111112212,1233141002,34452452,1018595,1SRB5,23,7,7
38,6972593,11010100110010010110001,32462261,6A64B1,111010020121012,3241110333,113160155,2403095,45G35,41,7,3
39,13466917,110011010111110100100101,63276445,CD7D25,221100012010201,11421420132,222316102,4615431,80N51,37,8,7
40,20996011,1010000000101111110101011,120057653,1405FAB,1110111201010001,20333333021,343314601,7046577,CI0MJ,28,8,1
41,24036583,1011011101100010011100111,133542347,16EC4E7,1200020011222211,22123132313,411210334,8072087,EB6QV,31,8,3
42,25964951,1100011000011000110010111,143030627,18C3197,1210212011012212,23121334301,433461365,884201B,FGION,41,8,1
43,30402457,1110011111110011110011001,163763631,1CFE799,2010012121022221,30240334312,516262621,A222021,I3MOP,25,8,7
44,32582657,1111100010010110000000001,174226001,1F12C01,2021022101000002,31320121112,543643112,AAB3855,JECXT,38,8,7
45,37156667,10001101101111011100111011,215573473,236F73B,2120220202100212,34003003132,630553322,1053A84B,M4E9N,41,8,7
46,42643801,10100010101011000101011001,242530531,28AB159,2222020112022001,41404100201,1025315644,12346161,PE061,28,8,1
47,43112609,10100100011101100010100001,244354241,291D8A1,10000010100101022,42014100414,1032310511,12531515,PO1WH,26,8,9
48,57885161,11011100110100000111101001,334640751,37341E9,11000220212111212,104304311121,1302005255,17476435,YGOH5,41,8,1
49,74207281,100011011000101000000110001,433050061,46C5031,12011122010020211,122444113111,1560515521,20A28041,186IPD,31,8,1
50,77232917,100100110100111101100010101,446475425,49A7B15,12101022211122102,124232423132,1625316566,21A46B85,19ZDAT,38,8,7
51,82589933,100111011000011100011101101,473034355,4EC38ED,12202102000002102,132120334213,2022000656,237AB125,1D66ST,47,8,3
52,136279841,1000000111110111011100100001,1007673441,81F7721,100111102201210112,234341423331,3243234215,39781795,294Y75,41,9,1
